id,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
111,ait test voorbeeld,ait test example,5,iq test,0.459
112,teique,teik,2,team performance,0.229
113,teiq,teiq,2,team performance,0.176
114,teique assessment,teique assessment,7,practice assessment,0.440
115,disc test,disc test,15,disc test,1.000
116,disc profiel,disc profile,15,disc test,0.623
117,disc persoonlijkheidstest,disc personality test,18,personal test,0.525
118,disc model test,disc model test,15,disc test,0.892
119,disc profiel test,disc profile test,15,disc test,0.845
120,disc test gratis,test disc for free,15,disc test,0.749
121,disc persoonlijkheid,disc personality,18,personal test,0.236
122,disc uitleg,disc explanation,15,disc test,0.740
123,disc vragenlijst pdf,disc questionnaire pdf,15,disc test,0.679
124,disc test nederlands,disc test nederlands,15,disc test,0.749
125,disc test download,disc test download,15,disc test,0.800
126,gia test oefenen,practice gia test,8,practice assessment tests,0.320
127,gia test gratis,gia test free,5,iq test,0.317
128,gia test score,gia test score,5,iq test,0.428
129,consciëntieusheid,conscientiousness,2,team performance,0.146
130,tascnet test,tascnet test,5,iq test,0.384
131,psychotechnische testen oefenen,practice psychotechnical tests,8,practice assessment tests,0.513
132,analytische test,analytical test,5,iq test,0.448
133,welke kleur ben ik test,what color am i testing,5,iq test,0.388
134,hersey en blanchard test,hersey in blanchard test,5,iq test,0.345
135,loopbaanbegeleiding online test,career guidance online test,5,iq test,0.275
136,wat zijn mijn zwakke punten test,what are my weaknesses test,5,iq test,0.378
137,wat is een assessment test,what is an assessment test,10,what is abstract reasoning,0.168
138,hpti test,hpti test,5,iq test,0.311
139,emoties herkennen test,recognize emotions test,5,iq test,0.416
140,leervermogen,learning ability,2,team performance,0.263
141,leervermogen testen,test learning ability,5,iq test,0.517
142,leervermogen competentie,learning ability competence,2,team performance,0.209
143,interactief leervermogen,interactive learning ability,2,team performance,0.155
144,psychometrie,psychometrie,2,team performance,0.192
145,psychometric test,psychometric test,5,iq test,0.569
146,psychometrie betekenis,psychometric meaning,11,reason meaning,0.112
147,psychometrisch,psychometrisch,2,team performance,0.148
148,wat is een psychometrische test,what is a psychometric test,10,what is abstract reasoning,0.184
149,wat is psychometrie,what is psychometry,10,what is abstract reasoning,0.225
150,psychometric test characters,psychometric test characters,5,iq test,0.414
151,psychometrische eigenschappen betekenis,psychometric properties meaning,11,reason meaning,0.093
152,psychometric test meaning,psychometric test meaning,5,iq test,0.435
153,psychotechnische testen,psychotechnical testing,5,iq test,0.374
154,psychotechnische testen voorbeelden,psychotechnical testing examples,5,iq test,0.325
155,vragenlijst emoties,questionnaire emotions,17,feedback questionnaire,0.608
156,wat zijn psychotechnische testen,what are psychotechnical tests,5,iq test,0.313
157,ppa test oefenen,ppa test practice,8,practice assessment tests,0.575
158,ppa analyse,ppa analyse,2,team performance,0.226
159,spa analyse,spa analyse,2,team performance,0.259
160,ppa test gratis,ppa test for free,5,iq test,0.211
161,ppa assessment test,ppa assessment test,5,iq test,0.320
162,ppa online,ppa online,2,team performance,0.130
163,profielanalyse,profile analysis,2,team performance,0.230
164,profiel test,profile test,5,iq test,0.419
165,profile dynamics vragenlijst,profile dynamics questionnaire,17,feedback questionnaire,0.517
166,psychologische testen,psychological tests,5,iq test,0.517
167,psychologische testen oefenen,practice psychological tests,8,practice assessment tests,0.587
168,psychologische testen overzicht,psychological testing overview,5,iq test,0.404
169,job test,job test,5,iq test,0.483
170,aptitude test,aptitude test,5,iq test,0.468
171,sollicitatietesten,job application tests,5,iq test,0.279
172,aptitude betekenis,aptitude meaning,11,reason meaning,0.198
173,candidate test,candidate test,5,iq test,0.467
174,numerieke testen,numerical tests,5,iq test,0.381
175,numerieke testen sollicitatie oefenen,numerical tests application practice,8,practice assessment tests,0.450
176,numerieke testen hudson,numerical tests hudson,5,iq test,0.254
177,numerieke inzicht test ltp,numerical insight test ltp,5,iq test,0.264
178,numerieke testen tips,numerical testing tips,5,iq test,0.288
179,nauwkeurigheidstest,accuracy test,5,iq test,0.487
180,accuratesse betekenis,accuracy meaning,11,reason meaning,0.132
181,accuratesse test,accuracy test,5,iq test,0.487
182,snelheid en nauwkeurigheid test,speed and accuracy test,5,iq test,0.386
183,potentieel,potential,2,team performance,0.288
184,capaciteiten betekenis,abilities meaning,11,reason meaning,0.105
185,capaciteitentest oefenen,practice ability test,8,practice assessment tests,0.705
186,goede en slechte eigenschappen test,good and bad traits test,5,iq test,0.390
187,sterke punten test,strengths test,5,iq test,0.476
188,kwaliteiten test,qualities test,5,iq test,0.472
189,capaciteitentest technisch inzicht,capability test technical insight,5,iq test,0.309
190,planning ability test,planning ability test,5,iq test,0.442
191,vlieger capaciteitentest 1,kite aptitude test 1,5,iq test,0.402
192,technisch inzicht test,technical insight test,5,iq test,0.486
193,ruimtelijk inzicht betekenis,spatial awareness meaning,11,reason meaning,0.098
194,test ruimtelijk inzicht,test spatial awareness,5,iq test,0.315
195,assessment training,assessment training,7,practice assessment,0.760
196,ppa training,ppa training,2,team performance,0.226
197,ppa training,ppa training,2,team performance,0.226
198,effectief leiderschap training,effective leadership training,12,leadership styles,0.614
199,emotionele intelligentie training,emotional intelligence training,4,emotional intelligence training,1.000
200,beste assessment training,beste assessment training,7,practice assessment,0.629
201,assessment training review,assessment training review,7,practice assessment,0.733
202,recruitment trainingen,recruitment trainings,2,team performance,0.259
203,trainingen verandermanagement,change management training,19,talent management in practice,0.452
204,disc training kosten,disc training costs,15,disc test,0.474
205,training emotionele intelligentie,emotional intelligence training,4,emotional intelligence training,1.000
206,assessment training,assessment training,7,practice assessment,0.760
207,assessment cursus,assessment cursus,7,practice assessment,0.341
208,beste assessment training,beste assessment training,7,practice assessment,0.629
209,assessment training review,assessment training review,7,practice assessment,0.733
210,zelfontwikkeling,self development,20,self development,1.000
211,zelfontwikkeling boeken,books self development,20,self development,0.799
212,zelfontwikkeling engels,self development english,20,self development,0.768
213,zelfontwikkeling betekenis,self development meaning,20,self development,0.891
214,persoonlijke zelfontwikkeling,personal self-development,13,describe personal development,0.880
215,zelfontwikkeling tips,self development tips,20,self development,0.833
216,zelfontwikkeling competentie,self-development competence,20,self development,0.860
217,zelfontwikkeling cursus,self-development course,20,self development,0.802
218,verschil zelfontwikkeling en zelfontplooiing,difference self-development and self-development,20,self development,0.832
219,leiderschapskwaliteiten ontwikkelen,develop leadership qualities,16,qualities of a leader,0.841
220,leiderschapskwaliteiten ontwikkelen,develop leadership qualities,16,qualities of a leader,0.841
221,persoonlijkheid ontwikkelen,develop personality,13,describe personal development,0.657
222,zelfbewustzijn ontwikkelen,develop self-awareness,20,self development,0.650
223,competentie ontwikkelen medewerkers,developing employees' competence,3,new employees,0.564
224,opleiden en ontwikkelen personeel,train and develop staff,20,self development,0.378
225,soft skills ontwikkelen,develop soft skills,20,self development,0.412
226,emotionele intelligentie ontwikkelen,develop emotional intelligence,4,emotional intelligence training,0.844
227,competentie ontwikkelen medewerkers,developing employees' competence,3,new employees,0.564
228,persoonlijke ontwikkeling medewerkers,personal development employees,13,describe personal development,0.706
229,ontwikkeling medewerkers,employee development,3,new employees,0.662
230,waarom ontwikkeling van medewerkers belangrijk,why employee development is important,3,new employees,0.492
231,persoonlijke ontwikkeling,personal development,13,describe personal development,0.925
232,persoonlijke ontwikkeling voorbeelden,personal development examples,13,describe personal development,0.839
233,ontwikkeling persoonlijkheid,personality development,13,describe personal development,0.720
234,persoonlijke ontwikkeling medewerkers,personal development employees,13,describe personal development,0.706
235,ontwikkeling medewerkers,employee development,3,new employees,0.662
236,ontwikkelingsmogelijkheden,development opportunities,20,self development,0.423
237,persoonlijke ontwikkeling werk,personal development work,13,describe personal development,0.847
238,onderwerpen persoonlijke ontwikkeling,subjects personal development,13,describe personal development,0.815
239,wat is persoonlijke ontwikkeling,what is personal development,10,what is abstract reasoning,0.141
240,persoonlijke ontwikkeling beschrijven,describe personal development,13,describe personal development,1.000
241,waarom ontwikkeling van medewerkers belangrijk,why employee development is important,3,new employees,0.492
242,onboarding,onboarding,9,onboarding proces,0.842
243,onboarding proces,onboarding proces,9,onboarding proces,1.000
244,wat is onboarding,what is onboarding,10,what is abstract reasoning,0.129
245,onboarding definitie,onboarding definition,9,onboarding proces,0.728
246,onboarding tips,onboarding tips,9,onboarding proces,0.752
247,high potential,high potential,1,high performance team,0.383
248,recruitmentproces,recruitmentproces,2,team performance,0.312
249,wat is een recruiter,what is a recruiter,10,what is abstract reasoning,0.063
250,recruitment oplossingen,recruitment solutions,2,team performance,0.217
251,wat is recruitment,what is recruitment,10,what is abstract reasoning,0.085
252,recruitment nederlands,recruitment dutch,2,team performance,0.200
253,high potential programma,high potential programma,1,high performance team,0.294
254,identifying high potentials,identifying high potentials,1,high performance team,0.246
255,kosten recruitment,costs recruitment,2,team performance,0.231
256,wervingsproces,recruitment process,2,team performance,0.272
257,recruitment strategie,recruitment strategy,2,team performance,0.351
258,recruitment strategien,recruitment strategies,2,team performance,0.329
259,medewerkers aantrekken,attract employees,3,new employees,0.617
260,de juiste kandidaat selecteren,select the right candidate,2,team performance,0.155
261,sollicitant beoordelen,assess applicant,7,practice assessment,0.494
262,sollicitatiegesprek voeren als werkgever,conducting a job interview as an employer,2,team performance,0.179
263,werving en selectie betekenis,recruitment and selection meaning,11,reason meaning,0.196
264,360graden,360graden,2,team performance,0.163
265,360 graden feedback,360 degree feedback,0,feedback 360,0.761
266,360 graden feedback,360 degree feedback,0,feedback 360,0.761
267,360 graden evaluatie,360 degree evaluation,0,feedback 360,0.554
268,360 grad feedback,360 grad feedback,0,feedback 360,0.720
269,360 graden feedback voorbeeld antwoorden,360 degree feedback example answers,0,feedback 360,0.746
270,360 graden feedback formulier werk,360 degree feedback form work,0,feedback 360,0.710
271,360 graden feedback verslag voorbeeld,360 degree feedback report example,0,feedback 360,0.714
272,wat is 360 graden feedback,what is 360 degree feedback,0,feedback 360,0.678
273,360 graden feedback vragenlijst,360 degree feedback questionnaire,0,feedback 360,0.721
274,360 graden feedback voorbeeld antwoorden,360 degree feedback example answers,0,feedback 360,0.746
275,360 graden feedback geven,Giving 360 degree feedback,0,feedback 360,0.804
276,360 graden feedback uitleg,360 degree feedback explanation,0,feedback 360,0.707
277,360 graden analyse,360 degree analysis,0,feedback 360,0.480
278,360 graden feedback gratis,360 degree feedback for free,0,feedback 360,0.767
279,360 graden feedback formulier zorg,360 degree feedback form care,0,feedback 360,0.613
280,360 graden feedback formulier,360 degree feedback form,0,feedback 360,0.704
281,feedback 360,feedback 360,0,feedback 360,1.000
282,360 graden feedback invullen,Fill in 360 degree feedback,0,feedback 360,0.728
283,360 feedback formulier,360 feedback form,0,feedback 360,0.832
284,360 graden feedback medewerkers,360 degree feedback employees,0,feedback 360,0.649
285,360 graden feedback vragenlijst gratis,360 degree feedback questionnaire for free,0,feedback 360,0.686
286,instrument 360 graden feedback,instrument 360 degree feedback,0,feedback 360,0.555
287,vragen 360 graden feedback,ask 360 degree feedback,0,feedback 360,0.829
288,doel 360 graden feedback,target 360 degree feedback,0,feedback 360,0.686
289,360 graden feedback voorbeeld vragen,360 degree feedback example questions,0,feedback 360,0.743
290,360 graden feedback voorbeeld,360 degree feedback example,0,feedback 360,0.714
291,360 graden beoordeling,360 degree review,0,feedback 360,0.695
292,360 graden feedback formulier leiderschap,360 degree leadership feedback form,0,feedback 360,0.581
293,360 graden feedback test,360 degree feedback test,0,feedback 360,0.630
294,360 beoordeling,360 rating,2,team performance,0.278
295,360 graden feedback systeem,360 degree feedback system,0,feedback 360,0.645
296,feedback 360 graden,feedback 360 degrees,0,feedback 360,0.795
297,functioneringsgesprek voorbereiden,prepare performance interview,2,team performance,0.435
298,functioneringsgesprek tips,performance appraisal tips,2,team performance,0.474
299,verbeterpunten functioneringsgesprek,points for improvement performance interview,2,team performance,0.501
300,voorbereiden op functioneringsgesprek,preparing for performance interview,2,team performance,0.431
301,vragen tijdens functioneringsgesprek,questions during performance interview,2,team performance,0.400
302,doel functioneringsgesprek,target performance review,2,team performance,0.375
303,voordelen functioneringsgesprek,benefits performance appraisal,2,team performance,0.422
304,het functioneringsgesprek,the performance review,2,team performance,0.499
305,onderwerpen functioneringsgesprek,topics performance review,2,team performance,0.376
306,persoonlijke evaluatie voorbeeld,personal evaluation example,18,personal test,0.536
307,positieve feedback voorbeelden,positive feedback examples,17,feedback questionnaire,0.590
308,opbouwende feedback voorbeelden,constructive feedback examples,17,feedback questionnaire,0.573
309,feedback formulier voorbeeld,feedback form example,17,feedback questionnaire,0.629
310,evaluatie vragenlijst voorbeeld,evaluation questionnaire example,17,feedback questionnaire,0.656
311,feedback samenwerken voorbeeld,feedback collaboration example,17,feedback questionnaire,0.614
312,evaluatie vragenlijst voorbeeld,evaluation questionnaire example,17,feedback questionnaire,0.656
313,evaluatie vragenlijst voorbeeld,evaluation questionnaire example,17,feedback questionnaire,0.656
314,waarom feedback vragen,why ask for feedback,17,feedback questionnaire,0.694
315,feedback vragenlijst,feedback questionnaire,17,feedback questionnaire,1.000
316,feedback vragen model,ask for feedback model,17,feedback questionnaire,0.715
317,feedback vragen over samenwerken,ask for feedback on collaboration,17,feedback questionnaire,0.629
318,vragen tijdens functioneringsgesprek,questions during performance interview,2,team performance,0.400
319,feedback vragenlijst,feedback questionnaire,17,feedback questionnaire,1.000
320,feedback geven,to give feedback,17,feedback questionnaire,0.614
321,feedback geven en ontvangen,giving and receiving feedback,17,feedback questionnaire,0.729
322,wat is feedback geven,what is giving feedback,10,what is abstract reasoning,0.134
323,leiderschapskwaliteiten,leadership qualities,16,qualities of a leader,0.911
324,wat zijn leiderschapskwaliteiten,what are leadership qualities,16,qualities of a leader,0.897
325,goede leiderschapskwaliteiten,good leadership qualities,16,qualities of a leader,0.889
326,welke leiderschapskwaliteiten zijn er,what leadership qualities are there,16,qualities of a leader,0.897
327,leiderschapsstijlen,leadership styles,12,leadership styles,1.000
328,situationeel leiderschap,situational leadership,12,leadership styles,0.673
329,4 leiderschapsstijlen,4 leadership styles,12,leadership styles,0.892
330,directief leiderschap,directive leadership,12,leadership styles,0.547
331,soorten leiderschapsstijlen covey,types of leadership styles covey,12,leadership styles,0.892
332,ondersteunend leiderschap,supportive leadership,12,leadership styles,0.666
333,leiderschapskwaliteiten,leadership qualities,16,qualities of a leader,0.911
334,goede leider,good leader,2,team performance,0.283
335,eigenschappen leider,traits leader,2,team performance,0.306
336,eigenschappen van een leider,qualities of a leader,16,qualities of a leader,1.000
337,slechte eigenschappen leider,bad qualities leader,16,qualities of a leader,0.822
338,wat zijn leiderschapskwaliteiten,what are leadership qualities,16,qualities of a leader,0.897
339,welke leiderschapskwaliteiten zijn er,what leadership qualities are there,16,qualities of a leader,0.897
340,goede leiderschapskwaliteiten,good leadership qualities,16,qualities of a leader,0.889
341,persoonlijk leiderschap,personal leadership,12,leadership styles,0.714
342,soorten leiderschap,types of leadership,12,leadership styles,0.834
343,wat is leiderschap,what is leadership,10,what is abstract reasoning,0.179
344,ontwikkeling leiderschap,leadership development,12,leadership styles,0.722
345,waarom is leiderschap belangrijk,why is leadership important,12,leadership styles,0.610
346,leiderschap ontwikkelen,developing leadership,12,leadership styles,0.722
347,wat is goed leiderschap,what is good leadership,10,what is abstract reasoning,0.073
348,leiderschap verbeteren,improve leadership,12,leadership styles,0.708
349,wat is effectief leiderschap,what is effective leadership,10,what is abstract reasoning,0.108
350,kenmerken goed leiderschap,characteristics of good leadership,12,leadership styles,0.756
351,goed leiderschap kenmerken,good leadership characteristics,12,leadership styles,0.772
352,kenmerken van leiderschap,characteristics of leadership,12,leadership styles,0.803
353,visie op leiderschap,vision on leadership,12,leadership styles,0.626
354,goede leiders voorbeelden,good leaders examples,2,team performance,0.256
355,hr rapporten,hr reports,22,hr tools,0.715
356,hr rapportage voorbeeld,hr reporting example,22,hr tools,0.635
357,hr tools,hr tools,22,hr tools,1.000
358,talent tool,talent tool,2,team performance,0.365
359,hr tools voorbeelden,hr tools examples,22,hr tools,0.944
360,wat zijn hr tools,what are hr tools,22,hr tools,0.922
361,hr tools gratis,hr tools gratis,22,hr tools,0.935
362,hr software,hr software,22,hr tools,0.883
363,360 graden feedback software,360 degree feedback software,0,feedback 360,0.693
364,competentiemanagement software,competency management software,19,talent management in practice,0.478
365,beste hr software,best HR software,22,hr tools,0.817
366,rekrutering software,recruitment software,2,team performance,0.219
367,werken op afstand,working remotely,2,team performance,0.205
368,afstand werken,working remotely,2,team performance,0.205
369,op afstand werken,work remotely,2,team performance,0.189
370,managen op afstand,remote management,19,talent management in practice,0.288
371,communiceren op afstand,communicate remotely,2,team performance,0.145
372,high performance team,high performance team,1,high performance team,1.000
373,team charter,team charter,2,team performance,0.505
374,team performance,team performance,2,team performance,1.000
375,team motiveren,motivate team,2,team performance,0.629
376,waarom is communicatie belangrijk in een team,why is communication important in a team,2,team performance,0.578
377,teamdynamiek verbeteren,improve team dynamics,2,team performance,0.646
378,teamdynamiek betekenis,team dynamics meaning,11,reason meaning,0.120
379,high performing teams lencioni,high performing teams lencioni,1,high performance team,0.752
380,kenmerken high performance team,features high performance team,1,high performance team,0.754
381,wat is teamontwikkeling,what is team development,10,what is abstract reasoning,0.172
382,teamontwikkeling tuckman,team development tuckman,2,team performance,0.359
383,teamontwikkeling training,team development training,2,team performance,0.587
384,teamontwikkeling betekenis,team development meaning,11,reason meaning,0.193
385,teamontwikkeling definitie,team development definition,2,team performance,0.532
386,leiderschapsteam,unfortunately schapsteam,2,team performance,0.210
387,performance team,performance team,2,team performance,0.810
388,wat is een goed team,what is a good team,10,what is abstract reasoning,0.138
389,team beter laten functioneren,make the team function better,2,team performance,0.634
390,doelstellingen team,team goals,2,team performance,0.655
391,communicatie verbeteren in een team,improve communication in a team,2,team performance,0.584
392,team doelstellingen,team goals,2,team performance,0.655
393,kenmerken van een team,characteristics of a team,2,team performance,0.729
394,succesvolle teams,successful teams,2,team performance,0.696
395,voorbeeld succesvol team,example successful team,2,team performance,0.659
396,sterke teams,strong teams,2,team performance,0.635
397,communicatie team verbeteren,improve communication team,2,team performance,0.504
398,verbeteren van teams,improving teams,2,team performance,0.740
399,kwaliteiten team,qualities team,2,team performance,0.590
400,team opbouwen,building a team,2,team performance,0.680
401,vertrouwen herstellen in team,restore trust in team,2,team performance,0.405
402,teamwork verbeteren,improve teamwork,2,team performance,0.707
403,team ontwikkelen,developing a team,2,team performance,0.682
404,team functioneert niet,team is not functioning,2,team performance,0.610
405,de kracht van high performance teams,the power of high performance teams,1,high performance team,0.826
406,welkom nieuwe collega,welcome new colleague,2,team performance,0.125
407,introductietekst nieuwe medewerker voorbeeld,introduction text new employee example,3,new employees,0.644
408,nieuwe medewerkers,new employees,3,new employees,1.000
409,verwelkoming nieuwe medewerker,welcome new employee,3,new employees,0.798
410,welkomstpakket nieuwe medewerker,welcome package new employee,3,new employees,0.699
411,onboarding nieuwe medewerkers,onboarding new employees,3,new employees,0.719
412,nieuwe medewerker welkom heten,welcome new employee,3,new employees,0.798
413,welkom nieuwe collega kaart,welcome new colleague card,2,team performance,0.062
414,nieuwe medewerkers welkom heten,welcoming new employees,3,new employees,0.814
415,introductie nieuwe medewerker,introduction new employee,3,new employees,0.799
416,nieuwe collega welkom heten,welcome new colleague,2,team performance,0.125
417,vragenlijst nieuwe medewerker,questionnaire new employee,3,new employees,0.653
418,nieuwe collega welkom heten tekst,welcome new colleague text,2,team performance,0.088
419,nieuwe collega ontvangen,receive a new colleague,2,team performance,0.097
420,onboarding nieuwe medewerkers,onboarding new employees,3,new employees,0.719
421,onboarding programma,onboarding program,9,onboarding proces,0.832
422,onboarding film,onboarding film,9,onboarding proces,0.631
423,onboarding op afstand,remote onboarding,9,onboarding proces,0.634
424,onboarding kosten,onboarding costs,9,onboarding proces,0.666
425,onboarding onderzoek,onboarding research,9,onboarding proces,0.736
426,trends onboarding,trends onboarding,9,onboarding proces,0.649
427,onboarding strategie,onboarding strategy,9,onboarding proces,0.772
428,onboarding medewerkers,onboarding employees,3,new employees,0.567
429,waarom onboarding,why onboarding,9,onboarding proces,0.691
430,medewerkers motiveren,motivate employees,3,new employees,0.521
431,motiveren van medewerkers,motivating employees,3,new employees,0.519
432,medewerkers motiveren,motivate employees,3,new employees,0.521
433,motiveren van medewerkers,motivating employees,3,new employees,0.519
434,betrokkenheid medewerkers,employee involvement,3,new employees,0.561
435,betrokkenheid medewerkers stimuleren,stimulate employee involvement,3,new employees,0.511
436,medewerkers betrekken bij organisatie,involving employees in the organization,24,involvement organization,0.601
